Stock Balance ,KABAC CABLE ACCESSORIES (M) SDN BHD (729374-H),,,,,
,,,,,,
,,,,,,
,,,,,,
Item Code,Item Description,Location,UOM,Bal. Qty,Avg. Cost,Total Cost
,,,,,,
,,,,,,
,,,,,,
CM-EC-0-W ( J ),0.75-3.2mm CABLE MARKER ( J )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( K ),0.75-3.2mm CABLE MARKER ( K )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( L ),0.75-3.2mm CABLE MARKER ( L )(WHITE),HQ,ROLL,51.00,1.23,62.73
CM-EC-0-W ( M ),0.75-3.2mm CABLE MARKER  ( M )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( N ),0.75-3.2mm CABLE MARKER ( N )(WHITE),HQ,ROLL,48.00,1.23,59.04
CM-EC-0-W ( O ),0.75-3.2mm CABLE MARKER ( O )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( P ),0.75-3.2mm CABLE MARKER ( P )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( Q ),0.75-3.2mm CABLE MARKER ( Q )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( R ),0.75-3.2mm CABLE MARKER ( R )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( S ),0.75-3.2mm CABLE MARKER ( S )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( T ),0.75-3.2mm CABLE MARKER ( T )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( U ),0.75-3.2mm CABLE MARKER ( U )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( V ),0.75-3.2mm CABLE MARKER ( V )(WHITE),HQ,ROLL,45.00,1.23,55.35
CM-EC-0-W ( W ),0.75-3.2mm CABLE MARKER ( W )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( X ),0.75-3.2mm CABLE MARKER ( X )(WHITE),HQ,ROLL,48.00,1.23,59.04
CM-EC-0-W ( Y ),0.75-3.2mm CABLE MARKER ( Y )(WHITE),HQ,ROLL,48.00,1.23,59.04
CM-EC-0-W ( Z ),0.75-3.2mm CABLE MARKER ( Z )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-Y ( - ),0.75-3.2mm CABLE MARKER ( - )(YELLOW),HQ,ROLL,33.00,1.51,49.99
CM-EC-0-Y ( . ),0.75-3.2mm CABLE MARKER ( . )(YELLOW),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-Y ( / ),0.75-3.2mm CABLE MARKER ( / )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( + ),0.75-3.2mm CABLE MARKER ( + )(YELLOW),HQ,ROLL,39.00,1.23,47.97
CM-EC-0-Y ( 0 ),0.75-3.2mm CABLE MARKER ( 0 )(YELLOW),HQ,ROLL,35.00,1.72,60.25
